movieInfo,title,star,quote
"
                            导演: 李安 Ang Lee   主演: 吴倩莲 Chien-lien Wu / 杨贵媚 Kuei-Mei Yang /...;
                            1994 / 台湾 美国 / 剧情 家庭
                        ;
                                ;
                            ",饮食男女 / 飲食男女 / Eat Drink Man Woman,8.9,人生不能像做菜，把所有的料都准备好了才下锅。
"
                            导演: 格斯·范·桑特 Gus Van Sant   主演: 马特·达蒙 Matt Damon / 罗宾·...;
                            1997 / 美国 / 剧情
                        ;
                                ;
                            ",心灵捕手 / Good Will Hunting / 骄阳似我(港)  /  心灵捕手,8.7,人生中应该拥有这样的一段豁然开朗。
"
                            导演: 姜炯哲 Hyeong-Cheol Kang   主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...;
                            2011 / 韩国 / 剧情 喜剧
                        ;
                                ;
                            ",阳光姐妹淘 / 써니 / 阳光姊妹淘(港)  /  桑尼,8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica ...;
                            2000 / 意大利 美国 / 剧情 战争 情色
                        ;
                                ;
                            ",西西里的美丽传说 / Malèna / 真爱伴我行(台)  /  玛莲娜,8.6,美丽无罪。
"
                            导演: 姜文 Wen Jiang   主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao;
                            1994 / 中国大陆 香港 / 剧情
                        ;
                                ;
                            ",阳光灿烂的日子 / In the Heat of the Sun,8.7,一场华丽的意淫。
"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc...;
                            2014 / 美国 英国 加拿大 / 剧情 科幻 悬疑 冒险 家庭
                        ;
                                ;
                            ",星际穿越 / Interstellar / 星际启示录(港)  /  星际效应(台),9.1,爱是一种力量，让我们超越时空感知它的存在。
"
                            导演: Kátia Lund / Fernando Meirelles   主演: Alexandre Rodrigues / Lea...;
                            2002 / 巴西 法国 / 犯罪 剧情
                        ;
                                ;
                            ",上帝之城 / Cidade de Deus / 无主之城 (港)  /  无法无天 (台),8.9,被上帝抛弃了的上帝之城。
"
                            导演: 高畑勋 Isao Takahata   主演: 辰己努 / 白石绫乃 / 志乃原良子;
                            1988 / 日本 / 动画 剧情 战争
                        ;
                                ;
                            ",萤火虫之墓 / 火垂るの墓 / 再见萤火虫(港)  /  萤火挽歌,8.8,幸福是生生不息，却难以触及的远。 
"
                            导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song / 吴达洙 Dal-su O...;
                            2013 / 韩国 / 剧情
                        ;
                                ;
                            ",辩护人 / 변호인 / 逆权大状(港)  /  正义辩护人(台),9.1,电影的现实意义大过电影本身。
"
                            导演: 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang   主演: 邱岳峰 Yuefeng Qiu /...;
                            1961(上集) / 1964(下集) / 1978(全本) / 2004(纪念版) / 中国大陆 / 动画 奇幻
                        ;
                                ;
                            ",大闹天宫 / 大闹天宫 上下集  /  The Monkey King,9.2,经典之作，历久弥新。
